Num_threads, size, secs, AVG_already_solved, SD_already_solved, AVG_iterations, SD_iterations, thread_assigment_method
 13,       1000,  0.10299,     58991.9231,     33493.6600,    529242.6154,    228606.3803, 1
 13,       1000,  0.10459,     46932.6923,     24610.3506,    528969.0000,    251869.3682, 1
 13,       1000,  0.10426,     52769.4615,     12611.8794,    517551.6923,    146636.7350, 1
 14,       1000,  0.10724,     48590.3571,     19563.5743,    505554.8571,    169972.3221, 1
 14,       1000,  0.10225,     43903.5000,     20138.6740,    466882.0714,    221201.3917, 1
 14,       1000,  0.10998,     45415.5714,     27539.8376,    521008.8571,    283655.3094, 1
 14,       1000,  0.10992,     45678.5714,     21296.8845,    521514.5000,    188801.1028, 1
 14,       1000,  0.10762,     49508.3571,     21378.0914,    514718.7857,    241719.3305, 1
 15,       1000,  0.10580,     40541.7333,     13701.2029,    469564.0000,    154784.0312, 1
 15,       1000,  0.10348,     40566.6000,     22003.0016,    445277.4667,    202258.7008, 1
 15,       1000,  0.11182,     43657.2667,     28635.0233,    484233.8000,    303428.4351, 1
 15,       1000,  0.11085,     40805.0667,     20366.8525,    477372.9333,    235154.5316, 1
 15,       1000,  0.10105,     36968.2667,     20467.7655,    447212.0667,    252727.3880, 1
 16,       1000,  0.11144,     36022.8125,     14738.2214,    441842.4375,    161945.2776, 1
 16,       1000,  0.11157,     44840.3125,     37050.9260,    464168.0000,    341755.5501, 1
 16,       1000,  0.11027,     38177.0000,     27727.0239,    445901.6875,    284295.6862, 1
 16,       1000,  0.10726,     43607.5000,     24529.2492,    446091.4375,    228172.5965, 1
 16,       1000,  0.11322,     40923.1875,     26326.5357,    468730.2500,    267725.2485, 1
  1,       2000,  0.47432,         0.0000,         0.0000,   7437552.0000,         0.0000, 1
  1,       2000,  0.47245,         0.0000,         0.0000,   7435782.0000,         0.0000, 1
  1,       2000,  0.47112,         0.0000,         0.0000,   7435782.0000,         0.0000, 1
  1,       2000,  0.47363,         0.0000,         0.0000,   7439507.0000,         0.0000, 1
  1,       2000,  0.47342,         0.0000,         0.0000,   7439507.0000,         0.0000, 1
  2,       2000,  0.50128,    727614.0000,     18034.0513,   7270746.5000,      1593.1116, 1
  2,       2000,  0.50731,    733363.0000,     41859.3072,   7268410.5000,      2919.6439, 1
  2,       2000,  0.50113,    728390.5000,     42224.8814,   7281320.5000,       446.1844, 1
  2,       2000,  0.50089,    730272.5000,     58269.1343,   7280750.0000,      3914.5431, 1
  2,       2000,  0.50710,    731593.5000,     47034.6218,   7275288.5000,       815.2941, 1
  3,       2000,  0.33049,    690034.0000,    573189.5395,   4078175.3333,    906553.1042, 1
  3,       2000,  0.31201,    362657.0000,     46210.0487,   4412721.6667,      8591.6122, 1
  3,       2000,  0.31424,    353012.0000,     23299.0903,   4437632.0000,     29274.6747, 1
  3,       2000,  0.31423,    351620.3333,     25610.6410,   4435235.6667,     27890.9260, 1
  3,       2000,  0.34048,    411321.6667,     71637.5339,   4723817.3333,     40145.4706, 1
  4,       2000,  0.38538,    566592.2500,     28473.7244,   4915097.5000,     36555.9990, 1
  4,       2000,  0.38598,    563821.0000,     24687.9348,   4923744.0000,     39863.8102, 1
  4,       2000,  0.30133,    861646.0000,    790448.7270,   3930464.2500,    590262.7239, 1
  4,       2000,  0.30201,    868525.5000,    798335.0618,   3944570.5000,    576646.8471, 1
  4,       2000,  0.30783,    886997.0000,    809266.6198,   4005526.7500,    577694.4715, 1
  5,       2000,  0.33620,    666164.8000,    224006.6450,   3681877.4000,    454911.2470, 1
  5,       2000,  0.34106,    790124.8000,    417226.1952,   3800611.6000,    702853.2176, 1
  5,       2000,  0.31550,    746402.0000,    520795.6418,   3863685.2000,    474149.7640, 1
  5,       2000,  0.31543,    750416.2000,    501874.9045,   3855527.2000,    450219.3489, 1
  5,       2000,  0.31470,    744687.4000,    487071.5335,   3843202.2000,    464819.8281, 1
  6,       2000,  0.29759,    915926.8333,    565550.1574,   3506560.3333,    511902.2311, 1
  6,       2000,  0.29506,    884733.3333,    544961.8730,   3472191.3333,    526121.2617, 1
  6,       2000,  0.27607,    901649.1667,    618871.7526,   3299991.8333,    481033.2129, 1
  6,       2000,  0.29774,    856923.8333,    511260.9881,   3406403.0000,    528616.1957, 1
  6,       2000,  0.29443,    853258.1667,    503917.1670,   3339945.0000,    467429.0813, 1
  7,       2000,  0.32677,    808721.2857,    363249.0997,   3413811.4286,    538571.0568, 1
  7,       2000,  0.31983,    837797.8571,    343807.2553,   3400657.7143,    532047.2165, 1
  7,       2000,  0.32017,    770928.2857,    313314.1737,   3336269.2857,    559139.2090, 1
  7,       2000,  0.35190,    915546.8571,    380277.6056,   3682186.7143,    594978.6847, 1
  7,       2000,  0.34600,    980671.2857,    404628.2616,   3693489.1429,    519543.1556, 1
  8,       2000,  0.50958,    323375.7500,     21493.2950,   4107850.7500,     47259.6223, 1
  8,       2000,  0.42551,    280019.2500,     48648.6158,   3537720.3750,     42221.9564, 1
  8,       2000,  0.45690,    305966.2500,     63022.9953,   3720030.6250,     57689.2552, 1
  8,       2000,  0.43367,    288175.0000,     58637.1306,   3588172.6250,     74533.5300, 1
  8,       2000,  0.46197,    290573.6250,     28348.8221,   3779963.8750,     45708.5207, 1
  9,       2000,  0.44424,    260923.4444,     47818.3734,   3201896.8889,    530826.4516, 1
