Num Threads, Size, Seconds
1, 1000, 0.406575 
1, 2000, 3.551932 
1, 3000, 12.655897 
1, 4000, 32.990250 
1, 5000, 64.814514 
1, 6000, 113.021591 
1, 7000, 177.519379 
1, 8000, 261.642090 
1, 9000, 371.836945 
1, 10000, 512.565430 
1, 11000, 683.281067 
1, 12000, 880.360107 
1, 13000, 1128.866333 
1, 14000, 1393.542725 
1, 15000, 1718.428711 
1, 20000, 4010.770752 
1, 25000, 7806.072266 
1, 30000, 13602.088867 
1, 35000, 21826.265625 
