


dp_wave
NUM_THREADS, SEQUENCE_LENGTH, SECS
3, 1000, 0.022303 
3, 1000, 0.021670 
3, 1000, 0.017933 
3, 2000, 0.057174 
3, 2000, 0.057526 
3, 2000, 0.075757 
3, 2000, 0.070688 
3, 2000, 0.072420 
3, 2000, 0.075055 
3, 3000, 0.151759 
3, 3000, 0.139104 
3, 3000, 0.124914 
3, 3000, 0.140892 
3, 3000, 0.139168 
3, 3000, 0.142568 
3, 4000, 0.239107 
3, 4000, 0.311412 
3, 4000, 0.238473 
3, 4000, 0.253990 
3, 4000, 0.247438 
3, 4000, 0.248636 
3, 5000, 0.449523 
3, 5000, 0.376660 
3, 5000, 0.341425 
3, 5000, 0.379254 
3, 5000, 0.383380 
3, 5000, 0.483800 
3, 6000, 0.619267 
3, 6000, 0.550726 
3, 6000, 0.556380 
3, 6000, 0.566250 
3, 6000, 0.639056 
3, 6000, 0.561794 
3, 7000, 0.684422 
3, 7000, 0.689943 
3, 7000, 0.758854 
3, 7000, 0.824597 
3, 7000, 0.749730 
3, 7000, 0.768066 
3, 8000, 0.977232 
3, 8000, 1.042145 
3, 8000, 1.144041 
3, 8000, 0.977388 
3, 8000, 0.949890 
3, 8000, 0.992911 
3, 9000, 1.394393 
3, 9000, 1.066509 
3, 9000, 1.262689 
3, 9000, 1.348091 
3, 9000, 1.245166 
3, 9000, 1.544659 
3, 10000, 1.659129 
3, 10000, 1.446609 
3, 10000, 1.511018 
3, 10000, 1.996639 
3, 10000, 1.544065 
3, 10000, 1.847313 
3, 11000, 1.839424 
3, 11000, 2.294186 
3, 11000, 1.814887 
3, 11000, 1.894382 
3, 11000, 1.799082 
3, 11000, 1.993643 
3, 12000, 2.109894 
3, 12000, 2.172342 
3, 12000, 2.789802 
3, 12000, 2.182862 
3, 12000, 2.242844 
3, 12000, 2.799640 
3, 13000, 3.325137 
3, 13000, 3.034386 
3, 13000, 3.149475 
3, 13000, 3.379449 
3, 13000, 3.330544 
3, 13000, 3.167900 
3, 14000, 3.970786 
3, 14000, 2.989431 
3, 14000, 3.656139 
3, 14000, 2.920097 
3, 14000, 3.966595 
3, 14000, 3.055798 
3, 15000, 3.585633 
3, 15000, 3.533029 
3, 15000, 3.589961 
3, 15000, 3.630881 
3, 15000, 4.539899 
3, 15000, 3.542350 
3, 16000, 5.060337 
3, 16000, 4.076682 
3, 16000, 5.040466 
3, 16000, 4.178606 
3, 16000, 4.178328 
3, 16000, 4.068384 
3, 17000, 4.915471 
3, 17000, 5.241240 
3, 17000, 4.459942 
3, 17000, 5.034444 
3, 17000, 5.796152 
3, 17000, 5.821865 
3, 18000, 6.230439 
3, 18000, 6.495092 
3, 18000, 5.789096 
3, 18000, 5.853488 
3, 18000, 5.563043 
3, 18000, 6.547633 
3, 19000, 6.876071 
3, 19000, 6.813311 
3, 19000, 7.155157 
3, 19000, 7.223222 
3, 19000, 7.163282 
3, 19000, 7.273521 
3, 20000, 8.216919 
3, 20000, 8.298092 
3, 20000, 8.192215 
3, 20000, 6.555773 
3, 20000, 7.405401 
3, 20000, 8.199323 
4, 1000, 0.021094 
4, 1000, 0.024448 
4, 1000, 0.022787 
4, 1000, 0.020440 
4, 1000, 0.020273 
4, 1000, 0.023282 
4, 2000, 0.068152 
4, 2000, 0.063432 
4, 2000, 0.074358 
4, 2000, 0.072971 
4, 2000, 0.079935 
4, 2000, 0.076220 
4, 3000, 0.154060 
4, 3000, 0.158092 
4, 3000, 0.168472 
4, 3000, 0.154760 
4, 3000, 0.142421 
4, 3000, 0.121237 
4, 4000, 0.280598 
4, 4000, 0.278478 
4, 4000, 0.260198 
4, 4000, 0.268346 
4, 4000, 0.265638 
4, 4000, 0.265046 
4, 5000, 0.417591 
4, 5000, 0.430746 
4, 5000, 0.365462 
4, 5000, 0.423547 
4, 5000, 0.433541 
4, 5000, 0.415544 
4, 6000, 0.586429 
4, 6000, 0.622760 
4, 6000, 0.616720 
4, 6000, 0.611470 
4, 6000, 0.659017 
4, 6000, 0.601235 
4, 7000, 0.770207 
4, 7000, 0.827036 
4, 7000, 0.798671 
4, 7000, 0.852014 
4, 7000, 0.816721 
4, 7000, 0.852908 
4, 8000, 0.961397 
4, 8000, 1.121701 
4, 8000, 1.091762 
4, 8000, 1.084942 
4, 8000, 1.150925 
4, 8000, 1.084942 
4, 9000, 1.456496 
4, 9000, 1.373576 
4, 9000, 1.478789 
4, 9000, 1.486077 
4, 9000, 1.361594 
4, 9000, 1.345056 
4, 10000, 1.651163 
4, 10000, 1.653710 
4, 10000, 1.806704 
4, 10000, 1.842577 
4, 10000, 1.637273 
4, 10000, 1.677113 
4, 11000, 2.000894 
4, 11000, 1.988410 
4, 11000, 2.029886 
4, 11000, 1.985532 
4, 11000, 2.078451 
4, 11000, 1.909798 
4, 12000, 2.500849 
4, 12000, 2.128848 
4, 12000, 2.587026 
4, 12000, 2.468248 
4, 12000, 2.617068 
4, 12000, 2.337729 
4, 13000, 2.912398 
4, 13000, 3.057564 
4, 13000, 2.963285 
4, 13000, 2.759973 
4, 13000, 2.882352 
4, 13000, 2.886003 
4, 14000, 3.178148 
4, 14000, 3.543242 
4, 14000, 3.246271 
4, 14000, 3.366773 
4, 14000, 3.514503 
4, 14000, 3.307652 
4, 15000, 3.482991 
4, 15000, 4.043792 
4, 15000, 3.701238 
4, 15000, 3.960780 
4, 15000, 3.830521 
4, 15000, 3.949787 
4, 16000, 4.064287 
4, 16000, 4.226543 
4, 16000, 4.314683 
4, 16000, 4.473041 
4, 16000, 4.340592 
4, 16000, 4.665115 
4, 17000, 5.469874 
4, 17000, 5.426658 
4, 17000, 5.393455 
4, 17000, 4.956188 
4, 17000, 4.858612 
4, 17000, 4.023655 
4, 18000, 4.773731 
4, 18000, 5.454647 
4, 18000, 5.347052 
4, 18000, 5.564681 
4, 18000, 5.681706 
4, 18000, 4.632083 
4, 19000, 6.109124 
4, 19000, 6.563560 
4, 19000, 5.833803 
4, 19000, 6.428005 
4, 19000, 6.005677 
4, 19000, 6.179733 
4, 20000, 7.439206 
4, 20000, 7.192640 
4, 20000, 6.957837 
4, 20000, 6.717938 
4, 20000, 7.041754 
4, 20000, 7.499748 
5, 1000, 0.023906 
5, 1000, 0.023197 
5, 1000, 0.024843 
5, 1000, 0.024101 
5, 1000, 0.025583 
5, 1000, 0.024706 
5, 2000, 0.072923 
5, 2000, 0.073697 
5, 2000, 0.067168 
5, 2000, 0.070589 
5, 2000, 0.064440 
5, 2000, 0.070133 
5, 3000, 0.134352 
5, 3000, 0.143756 
5, 3000, 0.143377 
5, 3000, 0.143235 
5, 3000, 0.138755 
5, 3000, 0.140249 
5, 4000, 0.261741 
5, 4000, 0.255315 
5, 4000, 0.233127 
5, 4000, 0.247733 
5, 4000, 0.241516 
5, 4000, 0.249722 
5, 5000, 0.363865 
5, 5000, 0.401760 
5, 5000, 0.381912 
5, 5000, 0.414120 
5, 5000, 0.403358 
5, 5000, 0.401071 
5, 6000, 0.515911 
5, 6000, 0.556738 
5, 6000, 0.602428 
5, 6000, 0.622127 
5, 6000, 0.551554 
5, 6000, 0.569026 
5, 7000, 0.785734 
5, 7000, 0.723767 
5, 7000, 0.788327 
5, 7000, 0.804765 
5, 7000, 0.714409 
5, 7000, 0.778772 
5, 8000, 0.936167 
5, 8000, 0.885251 
5, 8000, 1.007584 
5, 8000, 1.008116 
5, 8000, 0.946786 
5, 8000, 0.992433 
5, 9000, 1.207313 
5, 9000, 1.336233 
5, 9000, 1.305727 
5, 9000, 1.200247 
5, 9000, 1.206504 
5, 9000, 1.227106 
5, 10000, 1.634439 
5, 10000, 1.574216 
5, 10000, 1.567268 
5, 10000, 1.580353 
5, 10000, 1.522549 
5, 10000, 1.514434 
5, 11000, 1.940021 
5, 11000, 1.886634 
5, 11000, 1.855478 
5, 11000, 1.844866 
5, 11000, 1.846871 
5, 11000, 1.931222 
5, 12000, 2.269299 
5, 12000, 2.253755 
5, 12000, 2.169999 
5, 12000, 2.260140 
5, 12000, 2.215068 
5, 12000, 2.202912 
5, 13000, 2.385309 
5, 13000, 2.636940 
5, 13000, 2.532522 
5, 13000, 2.525907 
5, 13000, 2.551050 
5, 13000, 2.646929 
5, 14000, 3.021598 
5, 14000, 3.072237 
5, 14000, 3.069400 
5, 14000, 3.002883 
5, 14000, 3.101263 
5, 14000, 3.060216 
5, 15000, 3.536729 
5, 15000, 3.458970 
5, 15000, 3.337893 
5, 15000, 3.515902 
5, 15000, 3.434169 
5, 15000, 3.502810 
5, 16000, 3.975552 
5, 16000, 4.091107 
5, 16000, 4.087285 
5, 16000, 4.005391 
5, 16000, 4.019066 
5, 16000, 3.957790 
5, 17000, 4.537246 
5, 17000, 4.235267 
5, 17000, 4.598479 
5, 17000, 4.582830 
5, 17000, 4.541551 
5, 17000, 4.294650 
5, 18000, 5.166161 
5, 18000, 5.011062 
5, 18000, 5.188926 
5, 18000, 5.050162 
5, 18000, 5.229217 
5, 18000, 5.091109 
5, 19000, 5.783984 
5, 19000, 5.856134 
5, 19000, 5.820712 
5, 19000, 5.614177 
5, 19000, 5.790953 
5, 19000, 5.668635 
5, 20000, 6.355874 
5, 20000, 6.339398 
5, 20000, 6.201520 
5, 20000, 6.365212 
5, 20000, 6.427377 
5, 20000, 6.493428 
6, 1000, 0.027837 
6, 1000, 0.028547 
6, 1000, 0.030296 
6, 1000, 0.024340 
6, 1000, 0.029717 
6, 1000, 0.025014 
6, 2000, 0.073023 
6, 2000, 0.072813 
6, 2000, 0.072049 
6, 2000, 0.066913 
6, 2000, 0.067706 
6, 2000, 0.063524 
6, 3000, 0.134146 
6, 3000, 0.130264 
6, 3000, 0.138554 
6, 3000, 0.143556 
6, 3000, 0.127035 
6, 3000, 0.142711 
6, 4000, 0.239791 
6, 4000, 0.212958 
6, 4000, 0.225559 
6, 4000, 0.242778 
6, 4000, 0.227832 
6, 4000, 0.217218 
